activity_id,parent_id,source_id,assay_id,canonical_molecule_id,canonical_inchikey,exclusion_category,final_modeling_role,exclusion_reason,decision_provenance,molecule_survives_elsewhere,notes
ACT_3259068,PARENT0068,PMID_20303264,ASSY_CHEMBL1112719,CM00873,ZZGUJHFBBMPAKM-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3259069,PARENT0069,PMID_20303264,ASSY_CHEMBL1112719,CM00347,JZQVHVWLVCTLJZ-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260136,PARENT0070,PMID_20303264,ASSY_CHEMBL1112719,CM00229,HCOCVIIDJMDWEZ-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260137,PARENT0071,PMID_20303264,ASSY_CHEMBL1112719,CM00496,OHQQYIMZEFQMQZ-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260138,PARENT0072,PMID_20303264,ASSY_CHEMBL1112719,CM00461,NGHJNYKOMAXVNF-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260139,PARENT0073,PMID_20303264,ASSY_CHEMBL1112719,CM00526,PJHLWBWESJUHAG-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260140,PARENT0074,PMID_20303264,ASSY_CHEMBL1112719,CM00644,STVHKOSRRHWCDH-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260141,PARENT0075,PMID_20303264,ASSY_CHEMBL1112719,CM00811,XWXOZNSDTJGFSF-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260142,PARENT0076,PMID_20303264,ASSY_CHEMBL1112719,CM00406,LZGUJTKKQCIPJG-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260143,PARENT0077,PMID_20303264,ASSY_CHEMBL1112719,CM00577,QVVGDJPNAHSEMW-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
